# Languages settled by hand. Key = author|title|year, each part folded to lower case letters and
# digits (ia_lookup.norm), so it survives re-ordering, re-casing and a rebuilt database.
# key<TAB>language<TAB>title (the title is only there to read by)
akada kaita and satomi j|how to speak japanese correctly seisoku nihon go gaku|1933	English	How to speak Japanese correctly; seisoku Nihon-go gaku.
akegarasu haya ed|selections from the nippon seishin library|1936	English	Selections from the Nippon seishin library.
akiyama aisaburo|the world s ninth wonder or the yomei gate of the mausoleum of iyeyasu at nikko japan|1895	English	The world's ninth wonder, or, the Yômei Gate of the mausoleu
akiyama kenzo|the history of nippon tr by toshiro shimanouchi|1941	English	The history of Nippon. Tr. by Toshiro Shimanouchi.
alfaro guitierrez|poemas japoneses edicion privada|1928	Spanish	Poemas japoneses. Edición privada.
andre emile|100 coups de jiu jitsu coups et parades|1906	French	100 coups de jiu-jitsu; coups et parades.
arishima takeo|the agony of coming into the world tr into english by seiji fujita|1950	English	The agony of coming into the world. Tr. into English by Seij
arnold sir edwin|japonica|1891	English	Japonica.
arnold sir edwin|japonica|n d	English	Japonica.
asahi shinbunsha|children of japan japans kinder|1936	English	Children of Japan: Japans Kinder.
ashikaga kara|jiu jitsu polnyi obshchedostulnyi uchebnik fizicheskago razbitiya i priemov samozashchity po izviestnoi iaponskoi sistem jiujitsu tretie izdanie|1909	Russian	Jiu-jitsu: polnyi obshchedostulnyi uchebnik fizicheskago raz
associacion japonesa de productored de articulos superiores|la industria moderna de japon|1940	Spanish	La industria moderna de Japón.
aston william george|istoriia iaponskoi literatury perevod v mdndrina|1904	Russian	Istoriia iaponskoi literatury. Perevod.. V. Mdndrina.
avenarius g g|ekonomicheskaya jizn imperii i naroda nippon|1938	Russian	Ekonomicheskaya jizn' imperii i naroda Nippon.
baelz erwin toku ed|awakening japan the diary of a german doctor erwin balz tr from the german by eden and cedar paul|1932	English	Awakening Japan; the diary of a German doctor Erwin Bälz. Tr
baiov a ed|russko iaponskaia voina v soobshcheniiakh v nikolaevskoi adademii general nago shtaba chast 2|1907	Russian	Russko-iaponskaia voina v soobshcheniiakh v Nikolaevskoi Ada
barghoorn adolf keyssner ernest loan heinz van der rudolf gustav and simonis erich trs|das jahr in erleben des volkes|1926	German	Das Jahr in Erleben des Volkes
baumann ferix|japaner madel|1908	German	Japaner Mädel.
bax b w|the eastern seas being a narrative of the voyage of h m s dwarf in china japan and formosa|1875	English	The Eastern seas; being a narrative of the voyage of H.M.S. 
bellessort andre|le nouveau japon|1918	French	Le nouveau Japon.
bellessort andre|le nouveau japon|1926	French	Le nouveau Japon.
benl oscar tr|tsurezuregusa oder aufzeichnungen aus mussestunden|1940	German	Tsurezuregusa oder Aufzeichnungen aus Mussestunden
benneville james s de|saito musashi bo benkei tales of the wars of the gempei being the story of the lives and adventures of iyo no kami minamoto kuro yoshitsune and saito musashi bo benkei the warrior monk|1910	English	Saitô Musashi-bô Benkei; tales of the wars of the Gempei. Be
bergh hugo van den|japans geschichtliche entwickelung|1905	German	Japans geschichtliche Entwickelung.
bergman sten|de tusen er i det fjerne sten reisen og eventyr pa kurilene|1933	Norwegian	De tusen øer i det fjerne østen; reisen og eventyr pa Kurile
berlin staatliche museum|ausstellung altjapanischer kunst berlin 1939|1939	German	Ausstellung altjapanischer Kunst, Berlin 1939.
berliner anna|der teekult in japan|1930	German	Der Teekult in Japan.
berliner siegfried|organisation des indigo handels im lande awa|1924	German	Organisation des Indigo-Handels im Lande Awa.
berlitz m d|nippon go kyo kwa sho|1909		Nippon-go kyo kwa sho.
berlitz m d|nippon go kyo kwa sho|1919		Nippon-go kyo kwa sho.
biblioteca oriental|biblioteca oriental comprende 2747 obras relativas a filipinas japon china y otras partes de asia y oceania con comentarios y 96 reproducciones en facsimil|1912	Spanish	Biblioteca Oriental; comprende 2747 obras relativas à Filipi
bisson thomas arthur|shadow over asia the rise of militant japan|1941	English	Shadow over Asia; the rise of militant Japan.
bohner hermann tr|kamatari den taishokukwan den kaden d i haustraditionen des hauses fujiwara oberer band|1941	German	Kamatari-den; Taishokukwan-den. Kaden, d.i. Haustraditionen 
bohner hermann|muchimaro den kaden d i haustraditionen des hauses fujiwara unterer band|1942	German	Muchimaro-den; Kaden, d.i., Haustraditionen (des Hauses Fuji
bohner hermann|tachibana no hayanari den|1942	German	Tachibana-no-Hayanari-den
bohner hermann|wake no kiyomaro den|1940	German	Wake-no-Kiyomaro-den
bonneau georges tr|le haiku|1935	French	Le Haiku
bonneau georges|japon et mandchourie|1932	French	Japon et Mandchourie.
bonneau georges|la haiku|1935	French	La Haiku.
booth william beattie|illustrations and descriptions of the plants which compose the natural order camellieae and of the varieties of camellia japonica cultivated in the gardens of great britain|1931	English	Illustrations and descriptions of the plants which compose t
borquez djed|el mundo es igual|1931	Spanish	El mundo es igual.
borton hugh et al|a selected list of books and articles on japan in english french and german comp by hugh borton serge elisseeff and edwin o reischauer|1940	English	A selected list of books and articles on Japan in English, F
bosch pieter antonie roeper|de verhouding tusschen japan en nederlandsch indie|1918	Dutch	De verhouding tusschen Japan en Nederlandsch-Indië.
bosch pieter antonie roeper|japan in den oorlog|1920	Dutch	Japan in den oorlog.
boullaire|la cavalerie russe en mandchourie|1911	French	La cavalerie russe en Mandchourie.
boxer c r|padre joao rodriquez tcuzu s j and his japanese grammars of 1604 and 1620|1950	English	Padre João Rodriquez Tçuzu S. J. and his Japanese Grammars o
boxer c r|the embassy of captain goncalo de siqueira de souza to japan in 1644 1647|1939	English	The Embassy of Captain Gonçalo de Siqueira de Souza to Japan
boxer charles ralph|azia sinica e japonica obra postuma e inedita de frade arrabido jose de jesus maria v 1|1941	Portuguese	Azia Sinica e Japonica; obra póstuma e inédita de frade arra
boxer charles ralph|the embassy of captain goncalo de siqueira de souza to japan in 1644 7|1939	English	The embassy of Captain Gonçalo de Siqueira de Souza to Japan
bozoky dezso|ket ev keletazsiaban ulirajzok kotet 2 japan minden jog fentartva|1911	Hungarian	Két év keletázsiában. Ulirajzok. Kötet 2. Japán. Minden jog 
brandt max august scipion von|ostasiatische fragen china japan korea altes und neues|1897	German	Ostasiatische Fragen: China, Japan, Korea; Altes und Neues.
brody sandor|japan orszag a felkelo nop birodalma eredeti japan kepekkel szines terkeppel angol franczia es nemet munkak utan|1904	Hungarian	Jápan ország; a felkelö nop birodalma. Eredeti japán képekke
brou alexandre|saint francois xavier|1922	French	Saint François Xavier.
buenos aires museo national de bellas artes|exposicion de arte de china y japon|1936	Spanish	Exposicion de arte de China y Japon.
buhot jean|le japon|1947	French	Le Japon
bulgakov f i|port artur iaponskaia osada i russkaia oborona ego c moria i sushi|1905	Russian	Port-Artur; iaponskaia osada i russkaia oborona ego c moria 
bunmei kyokai|dai nippon 1934|1934	English	Dai Nippon, 1934.
bunmei kyokai|dai nippon 1936 to contribute through the introduction of the culture of japan to the great task of international cooperation|1936	English	Dai Nippon, 1936. To contribute through the introduction of 
burnight ralph fletcher|japanese in rural los angeles county|1920	English	Japanese in rural Los Angeles County.
buschan georg|kulturgeschichte japans|1938	German	Kulturgeschichte Japans.
cane florence du|the flowers and gardens of japan painted by ella du cane|1908	English	The flowers and gardens of Japan. Painted by Ella du Cane.
caters christian de|visages du japon|1936	French	Visages du Japon.
chamberlin william henry|japan over asia|1937	English	Japan over Asia.
chamberlin william henry|japan over asia|1941	English	Japan Over Asia
champney elizabeth w jt author|romance of old japan by elizabeth and frere champney|1917	English	Romance of old Japan, by Elizabeth and Frére Champney.
chikamatsu tokuzo|miss morning glory a story from an old japanese drama retold by asataro miyamori and rev by a w playfair with a japanese translation|1917	English	Miss Morning-glory; a story from an old Japanese drama. Reto
cho fusao|normentafel zur entwicklungsgeschichte des trionyx japonicus|1938	German	Normentafel zur Entwicklungsgeschichte des Trionyx japonicus
cieslik hubert|nanbanji romane der tokugawa zeit|1943	German	Nanbanji-Romane der Tokugawa-Zeit
clavery edouard|extreme orient chine japon 1939|1939	French	Extrême-Orient: Chine-Japon 1939.
cohn william|ostasiatische portratmalerei|1922	German	Ostasiatische Porträtmalerei
collado diego|niffon no cotoba ni yo confesion vo mosu yodai to mata confesor yori goxensacu mesaruru tame no canyo naru giogio no coto danguixa no monpa no fr diego collado to yu xucque roma ni voite core vo xitate mono nari|1866		Niffon no cotôba ni yô confesion vo mósu yōdai to màta Confe
collins gilbert|flower of asia a novel of nihon|1924	English	Flower of Asia. A novel of Nihon.
cook canfield|wings over japan|1944	English	Wings over Japan
corazza heinz|japan wunder des schwertes|1935	German	Japan; Wunder des Schwertes.
coucheron aamot w|kriget mellan japan och kina jamte kortfattad skildring af ostra asiens historia|1897	Swedish	Kriget mellan Japan och Kina; Jämte kortfattad skildring af 
coucheron aamot w|li hung changs fodreland og ostasiens historie efter freden til shimonoseki|1898	Danish	Li Hung-changs Födreland og ostasiens historie efter Freden 
couperus louis|nippon tr from the dutch by john de la valette|1926	English	Nippon. Tr. from the Dutch by John de la Valette.
couperus louis|nippon|1925	Dutch	Nippon.
courant maurice|bibliographie coreene supplement jusqu en 1899|1901	French	Bibliographie coréene: Supplement, jusqu'en 1899.
courant maurice|bibliographie coreene|1894 96	French	Bibliographie coréene.
d anethan baroness albert|the twin soul of o take san|1914	English	The twin-soul of O'Také san.
dai nippon yubenkai kodansha|press notice on the autobiography of mr seiji noma|1935	English	Press notice on the autobiography of Mr. Seiji Noma.
dai nippon yubenkai kodansha|seiji noma magazine king of japan a sketch of his life character and enterprises|1927	English	Seiji Noma, "Magazine king" of Japan; a sketch of his life, 
dao trinh nhat|nou 6 c nhu t bon 30 nam duy tan|1936	Vietnamese	Nou'6'c Nhu't-Bön, 30 nam Duy-Tân.
dauthendey max|iaponskie novelly perevod s nemetskovo h samoilovoi|1914	Russian	Iaponskie novelly. Perevod s nemetskovo H. Samoilovoi.
dautremer joseph|fleurs de souvenance et fleurs d oubli|1936	French	Fleurs de souvenance et fleurs d'oubli.
dawe william carlton layton|the girl from nippon|1915	English	The girl from Nippon.
de visser marius willem|het buddhisme in japan|1911	Dutch	Het Buddhisme in Japan.
de visser marius willem|oud en nieuw japan vier lezingen gehouden voor de ned ind bestuursacademie|1913	Dutch	Oud en nieuw Japan; vier lezingen gehouden voor de Ned. Ind.
de visser marius willem|the bodhisattva ti tsang jizo in china and japan|1914	English	The Bodhisattva Ti-tsang (Jizô) in China and Japan.
depping guillaume|le japon|1883	French	Le Japon.
