# Entries Wenckstern lists that are not about Japan: general works with a chapter on Japan, the
# Russian side of the war, foreign consular series, and the like. Chosen by the compiler on 2026-09-22.
# Key = author|title|year folded to letters and digits (language.key), as in the other decisions files;
# what follows the tab is only there to read by. A keyed entry is left out by wenck_merge.py.
saussaye ch de la|lehrbuch der religionsgeschichte|1905	Saussaye, Ch. de la | Lehrbuch der Religionsgeschichte | 1905
saussaye ch de la|manual of the science of religion|1899	Saussaye, Ch. de la | Manual of the Science of Religion | 1899
saussaye ch de la|manual d histoire des religions|1904	Saussaye, Ch. de la | Manual d'histoire des religions | 1904
howard c|sex worship an exposition of the phallic origin of religion|1897	Howard, C. | Sex Worship: An Exposition of the Phallic Origin of Religion | 1897
o neill j|the night of the gods an inquiry into cosmic and cosmogenic mythology and symbolism vol ii containing pp 583 1077|1897	O'Neill, J. | The Night of the Gods; An Inquiry into Cosmic and Cosmogenic Mythology | 1897
wuttke dr adolf|geschichte des heidenthums in beziehung auf religion wissen kunst sittlichkeit und staatsleben|1853	Wuttke, Dr. Adolf | Geschichte des Heidenthums in Beziehung auf Religion, Wissen, Kunst, S | 1853
baumgartner a|geschichte der weltliteratur|1897	Baumgartner, A. | Geschichte der Weltliteratur | 1897
gubernatis a conte de|storia universale della litteratura|1883 85	Gubernatis, A., Conte de | Storia universale della litteratura | 1883-85
leixner o v|illustrierte geschichte der literaturen aller volker|1898	Leixner, O. v. | Illustrierte Geschichte der Literaturen aller Völker | 1898
rehm h s|das buch der marionetten ein beitrag zur geschichte des theaters aller volker|1906	Rehm, H. S. | Das Buch der Marionetten. Ein Beitrag zur Geschichte des Theaters alle | 1906
beveridge a j|the russian advance|1904	Beveridge, A. J. | The Russian Advance | 1904
villari l|russia under the great shadow|1905	Villari, L. | Russia under the Great Shadow | 1905
wellesley hon f a|with the russians in peace and war recollections of a military attache|1905	Wellesley, Hon. F. A. | With the Russians in Peace and War. Recollections of a Military Attach | 1905
mahon p|l armee russe apres la campagne de 1904 5|1906	Mahon, P. | L'armée russe après la campagne de 1904-5 | 1906
foreign office russian|russian red book covering the period from june 1903 to february 1904|1905	Foreign Office, Russian | Russian Red Book Covering the Period from June 1903 to February 1904 | 1905
wirth a|aus ubersee und europa|1902	Wirth, A. | Aus Übersee und Europa | 1902
|lancashire fusilier annual for 1904|1904	- | Lancashire Fusilier Annual for 1904 | 1904
kwong ki chiu|a dictionary of english phrases|1899	Kwong Ki Chiu | A Dictionary of English Phrases | 1899
yoshida t|entwickelung des seidenhandels und der seidenindustrie vom alterthum bis zum ausgang des mittelalters eine dissertation|1894	Yoshida, T. | Entwickelung des Seidenhandels und der Seidenindustrie vom Alterthum b | 1894
hakluyt r|the principal navigations voyages traffiques and discoveries of the english nation america west indies voyages of circumnavigation|1889 90	Hakluyt, R. | The Principal Navigations, Voyages, Traffiques and Discoveries of the  | 1889-90
|the travels of marco polo the venetian the translation of marsden revised with a selection of his notes|1901	- | The Travels of Marco Polo, the Venetian: The Translation of Marsden, R | 1901
stapleton a g|intervention and non intervention or the foreign policy of great britain from 1790 1865|1866	Stapleton, A. G. | Intervention and Non-Intervention, or the Foreign Policy of Great Brit | 1866
tiele p a|memoire bibliographique sur les journaux des navigateurs neerlandais reimprimes dans les collections de bry et de hulsius et dans les collections hollandaises du 17e siecle et sur les anciennes editions holl des journaux de navigateurs etrangers|1867	Tiele, P. A. | Mémoire bibliographique sur les journaux des navigateurs néerlandais,  | 1867
retana w e|archivo del bibliofilo filipino recopilacion de documentos historicos cientificos literarios y politicos y estudios bibliograficos|1895 89	Retana, W. E. | Archivo del bibliófilo Filipino. Recopilación de documentos históricos | 1895-89
marre a|madjapahit et tchampa|1895	Marre, A. | Madjapahit, et Tchampa | 1895
algue j|baguios o ciclones filipinos|1897	Algué, J. | Baguios ó ciclones filipinos | 1897
algue j|the cyclones of the far east|1904	Algué, J. | The Cyclones of the Far East | 1904
froc l|typhoon highways in the far east no 1 across the south end of formosa strait|1896	Froc, L. | Typhoon Highways in the Far East. No. 1 across the South End of Formos | 1896
froc l|the iltis typhoon july 22nd 25th 1896|1896	Froc, L. | The "Iltis" Typhoon, July 22Nd-25Th, 1896 | 1896
froc l|the de witte typhoon august 1 6th 1901|1901	Froc, L. | The "De Witte" Typhoon August 1-6Th, 1901 | 1901
lynch g|the path of empire|1903	Lynch, G. | The Path of Empire | 1903
|dagh register gehouden int casteel batavia vant passerende daer ter plaetse als over geheel nederlandts india anno 1624 29 1631 34 1636 1637 1640 45 1647 48 1653 1656 57 1659 1661 1663 77|1887 1904	- | Dagh-register, gehouden int Casteel Batavia vant passerende daer ter p | 1887-1904
wormann k|geschichte der kunst aller zeiten und volker|1900	Wörmann, K. | Geschichte der Kunst aller Zeiten und Völker | 1900
muther r|geschichte der malerei im xixten jahrhundert|1893 94	Muther, R. | Geschichte der Malerei im XIXten Jahrhundert | 1893-94
choisy a|histoire de l architecture|1899	Choisy, A. | Histoire de l'architecture | 1899
dillon e|porcelain|no date 1906	Dillon, E. | Porcelain | no date [1906]
jacquemart a et le blanc|histoire artistique industrielle et commercielle de la porcelaine with 29 plates engraved by j jacquemart|1863	Jacquemart, A. et Le Blanc | Histoire artistique, industrielle et commercielle de la porcelaine, wi | 1863
hooper w h and w c philips|a manual of marks on pottery and porcelain a dictionary of easy reference|1902	Hooper, W. H. and W. C. Philips | A Manual of Marks on Pottery and Porcelain. A Dictionary of Easy Refer | 1902
maskell a|ivories|1905	Maskell, A. | Ivories | 1905
brown m e w a|musical instruments and their homes with 270 illustrations in pen and ink by w a brown catalogue of the collection of musical instruments now in the possession of j p brown of new york|1888	Brown, M. E. & W. A. | Musical Instruments and Their Homes with 270 Illustrations in Pen and  | 1888
bauwens m|les affiches etrangeres illustrees by m b t hayashi la forge meier grafe j peunell|1897	Bauwens, M. | Les Affiches étrangères illustrées, by M.B., T. Hayashi, La Forge, Mei | 1897
goncourt ed de|la maison d un artiste|1881	Goncourt, Ed. de | La maison d'un artiste | 1881
wyzewa th de|peintres de jadis et d aujourd hui|1903	Wyzewa, Th. de | Peintres de jadis et d'aujourd'hui | 1903
pica v|at traverso gli albi e le cartelle sensazioni d arte|n d	Pica, V. | At traverso gli albi e le cartelle sensazioni d'arte | n.d.
|kulturgeschichte des mittelalters|1897	- | Kulturgeschichte des Mittelalters | 1897
ploss dr h|das weib in der natur und volkerkunde anthropologische studien 8th edition revised and enlarged by dr m bartels|1905	Ploss, Dr. H. | Das Weib in der Natur- und Völkerkunde: Anthropologische Studien, 8th  | 1905
van rensselaer m king|the devil s picture books a history of playing cards|1892	Van Rensselaer, M. King | The Devil's Picture Books: A History of Playing Cards | 1892
shaw e r|big people and little people of other lands|1900	Shaw, E. R. | Big People and Little People of Other Lands | 1900
poole st lane|coins and medals their place in history and art illustrated|1885	Poole, St. Lane | Coins and Medals; Their Place in History and Art, Illustrated | 1885
wallace a r|island life insular faunas and floras geology climatology etc|1902	Wallace, A. R. | Island Life: Insular Faunas and Floras, Geology, Climatology, Etc | 1902
mayr h|fremdlandische wald und parkbaume fur europa|1906	Mayr, H. | Fremdländische Wald- und Parkbäume für Europa | 1906
bellair g et v berat|les chysanthemes description histoire culture emploi|1902	Bellair, G. et V. Bérat | Les chysanthèmes: description—histoire-culture-emploi | 1902
ginzel f k|handbuch der mathematischen und technischen chronologie das zeitrechnungswesen der volker vol i zeitrechnung der babylonier agypter mohammedaner perser inder sudostasiaten chinesen japaner und zentralamerikaner|1906	Ginzel, F. K. | Handbuch der mathematischen und technischen Chronologie. Das Zeitrechn | 1906
oppenheim l|international law vol ii war and neutrality|1906	Oppenheim, L. | International Law, Vol. II.: War and Neutrality | 1906
smith f e and n w sibley|international law and north sea crisis|1905	Smith, F. E. and N. W. Sibley | International Law and North Sea Crisis | 1905
verraes f|les lois de guerre et la neutralite vol i|1906	Verraes, F. | Les lois de guerre et la neutralité, vol. I. | 1906
liszt f v g crusen|die strafgesetzgebung der gegenwart in rechtsvergleichender darstellung vol ii das strafrecht der aussereuropaischen staaten|1899	Liszt, F. v. & G. Crusen | Die Strafgesetzgebung der Gegenwart in rechtsvergleichender Darstellun | 1899
quanter r|die leibes und lebensstrafen bei allen volkern und zu allen zeiten eine kriminalhistorische studie|1901	Quanter, R. | Die Leibes- und Lebensstrafen bei allen Völkern und zu allen Zeiten. E | 1901
|sammtliche patentgesetze des in und auslandes in ihren wichtigsten bestimmungen|1903	- | Sämmtliche Patentgesetze des In-und Auslandes in ihren wichtigsten Bes | 1903
|das staatsarchiv sammlung der officiellen actenstucke zur geschichte der gegenwart|n d	- | Das Staatsarchiv. Sammlung der officiellen Actenstücke zur Geschichte  | n.d.
bridel l|trois etudes sociales et juridiques|1905	Bridel, L. | Trois études sociales et juridiques | 1905
belgium|recueil consulaire belge|n d	Belgium | Recueil Consulaire Belge | n.d.
france|moniteur officiel du commerce publie par le ministere du commerce a paris|n d	France | Moniteur Officiel du Commerce publié par le Ministère du Commerce à Pa | n.d.
france|rapports commerciaux des agents diplomatiques et consulaires de france|n d	France | Rapports Commerciaux des Agents diplomatiques et consulaires de France | n.d.
germany|auswartiger handel des deutschen zollgebietes nach herkunfts und bestimmungslandern in den jahren 1880 1896 herausgegeben im reichsamt des innern|1897 98	Germany | Auswärtiger Handel des deutschen Zollgebietes nach Herkunfts-und Besti | 1897-98
germany|deutsches handelsarchiv zeitschrift fur handel und gewerbe herausgegeben im reichsamt des innern|n d	Germany | Deutsches Handelsarchiv. Zeitschrift für Handel und Gewerbe herausgege | n.d.
great britain|board of trade journal of tariff and tariff notices and miscellaneous commercial information vols xiv xlvii|1893 1904	Great Britain | Board of Trade Journal of Tariff and Tariff Notices and Miscellaneous  | 1893-1904
great britain|reports of h m diplomatic and consular representatives abroad presented to both houses of parliament annual series|n d	Great Britain | Reports of H.M. Diplomatic and Consular Representatives Abroad, Presen | n.d.
united states of america|commercial relations of the united states with foreign countries|1895 1904	United States of America | Commercial Relations of the United States with Foreign Countries | 1895-1904
united states of america|monthly consular reports issued formerly by the bureau of foreign commerce since july 1903 by the bureau of statistics of the department of commerce and labour|n d	United States of America | Monthly Consular Reports Issued Formerly by the Bureau of Foreign Comm | n.d.
united states of america|monthly summary of commerce and finance of the united states issued by the bureau of statistics of the treasury department|1899 1904	United States of America | Monthly Summary of Commerce and Finance of the United States Issued by | 1899-1904
united states of america|special consular reports issued by the department of commerce and labour of the bureau of statistics of the treasury department in washington|1903 1905	United States of America | Special Consular Reports Issued by the Department of Commerce and Labo | 1903-1905
|export organ des centralvereins fur handelsgeographie und forderung deutscher interessen im auslande zu berlin|n d	- | Export.—Organ des Centralvereins für Handelsgeographie, und Förderung  | n.d.
|journal of the society of arts in london|1893 1905	- | Journal of the Society of Arts in London | 1893-1905
|banker s magazine|1904	- | Banker's Magazine | 1904
fanno m|l espansione commerciale e coloniale degli stati moderni|1906	Fanno, M. | L'Espansione commerciale e coloniale degli stati moderni | 1906
united states statutes|same to acc report 450 feb 23 1900|1900	United States: Statutes | Same [to Acc.] Report 450. Feb. 23, 1900 | 1900
# Palmgren's Swedish list: general Swedish books noted only for a few pages on Japan (chosen 2026-09-22)
dahlgren erik wilhelm|de franska sjofarderna till soderhafvet i borjan af adertonde seklet en studie i historisk geografi|1900	Dahlgren, Erik Wilhelm | De franska sjöfärderna till Söderhafvet i början af adertonde seklet.  | 1900
bettany george thomas|varldens religioner en beskrifning ofver all viktigare religionssystem i varlden bade utdoda och nu existerande ofvers och bearb af g f|1893 94	Bettany, George Thomas | Världens religioner. En beskrifning öfver all viktigare religionssyste | 1893-94
|beskrifning ofver missionskartan|1864	- | Beskrifning öfver missionskartan | 1864
drummond henry|den yttre missionens problem foredrag hallet i glasgow nov 1890 ofvers|1901	Drummond, Henry | Den yttre missionens problem. Föredrag hållet i Glasgow, Nov. 1890. Öf | 1901
ekman erik jacob|illustrerad missionshistoria efter nyaste kallor|1890 1891	Ekman, Erik Jacob | Illustrerad missionshistoria efter nyaste källor | 1890-1891
grundemann r|upplysningar till missions kartan utgifven af r grundemann ofvers fr tyskan|1865	Grundemann, R. | Upplysningar till missions-kartan, utgifven af R. Grundemann. Öfvers.  | 1865
kalkar christian andreas herman|ofversigt af den evangeliska missionen bland hedningarne ofvers fr 30 tillokta uppl|1872	Kalkar, Christian Andreas Herman | Ofversigt af den evangeliska missionen bland hedningarne. öfvers. fr.  | 1872
landgren lars|ofversigt af de protestantiska missionernas uppkomst och narvarande tillstand|1871 1872	Landgren, Lars | Öfversigt af de protestantiska missionernas uppkomst och närvarande ti | 1871, 1872
lund edward|baptistsamfundets hednamissioner missionshistoriska och biografiska skildringar|1895	Lund, Edward | Baptistsamfundets hednamissioner. Missionshistoriska och biografiska s | 1895
|missionerna de svenska missionerna 1904 en ofversikt utg af uppsala kristliga studentforbund|1904	- | Missionerna. De svenska missionerna 1904. En öfversikt utg. af Uppsala | 1904
warneck gustav|de protestantiska missionernas historia fran reformationen till nuvarande tid i korta drag tecknad ofvers fran 2a tyska uppl|1884	Warneck, Gustav | De protestantiska missionernas historia från reformationen till nuvara | 1884
warneck gustav|ett bidrag till den nyare tidens kyrkohistoria|1903	Warneck, Gustav | Ett bidrag till den nyare tidens kyrkohistoria | 1903
griesinger theodor|jesuiternas historia ofvers af n j thunblad|1887	Griesinger, Theodor | Jesuiternas historia. öfvers. af N. J. Thunblad | 1887
dumrath oscar henrik|det 19e arhundradet i ord och bild politisk och kulturhistoria efter basta kallor pa grundval af hans kraemer das xix jahrhundert bearb for svenska forhallanden|1898 1901	Dumrath, Oscar Henrik | Det 19e århundradet i ord och bild. Politisk och kulturhistoria efter  | 1898-1901
hutchinson h n|folkens harskare ofvers och bearbetning af o h dumrath|1903 4	Hutchinson, H. N. | Folkens härskare. öfvers. och bearbetning af O. H. Dumrath | 1903-4
kjellen johan rudolf|stormakterna konturer kring samtidens storpolitik|1905	Kjellen, Johan Rudolf | Stormakterna. Konturer kring samtidens storpolitik | 1905
|nyheter fran alla verldsdelar|1858	- | Nyheter, från alla verldsdelar | 1858
peterson c f|ett hundra ar en aterblick pa det nittonde seklet|1892	Peterson, C. F. | Ett hundra år. En återblick på det nittonde seklet | 1892
|stormaktspolitik och stor politik af g a e|1905	- | Stormaktspolitik. och stor politik af G. A. E. | 1905
|berattelser om handel och sjofart fran de forenade rikenas konsuler|1878 1893	- | Berättelser, om handel och sjöfart från de forenade rikenas konsuler | 1878-1893
jacobson nils peter|die post der urzeit oder die nachrichtenvermittlung vor der sundfluth aus dem schwedischen ubersetzt durch das schwedische fremden bureau in stockholm|1892 1891	Jacobson, Nils Peter | Die Post der Urzeit oder die Nachrichtenvermittlung vor der Sündfluth. | 1892 [1891]
nystrom johan fredrik|ofversikt af handelns historia|1896	Nyström, Johan Fredrik | öfversikt af handelns historia | 1896
mulhall michael g|verldens framsteg i akerbruk handel manufakturer sedan borjan af det 19de arhundradet ofversattning fran engelskan af p w thunman|1881 82	Mulhall, Michael, G. | Verldens framsteg i åkerbruk, handel, manufakturer.... sedan början af | 1881-82
fullom stephen watson|qvinnans historia fran verldens aldsta tider omarbetning efter 3dje engelska upl af s y callerholm|1856	Fullom, Stephen Watson | Qvinnans historia från verldens äldsta tider. Omarbetning efter 3dje e | 1856
fullom stephen watson|qvinnans historia och hennes forhallande till religionen civilisationen och det husliga lifvet fran de aldsta tider intill vara dagar ofversatt fran 3dje engelska originalupplagan of a xell h ellsten|1856	Fullom, Stephen Watson | Qvinnans historia och hennes förhållande till religionen, civilisation | 1856
grube august wilhelm|skildringar ur naturen och menniskolifvet i de fem verldsdelarne ofversattning|1853	Grube, August Wilhelm | Skildringar ur naturen och menniskolifvet i de fem verldsdelarne. ...  | 1853
hutchinson h n|jordens folk illustrerad skildring af seder bruk lefnads satt fester och ceremonier hos jordens nu lefvande folkslag af h n hutchinson med bitrade af flera vetenskapsman efter eng af o a stridsberg|1903 05	Hutchinson, H. N. | Jordens folk. Illustrerad skildring af seder, bruk, lefnads sätt, fest | 1903-05
|katalog ofver kejserliga alexanders universitetets etnografiska samlingar|1859	- | Katalog öfver kejserliga Alexanders-Universitetets etnografiska samlin | 1859
klintberg mathias victor|katalog ofver visby hogre allmanna laroverks etnografiska samling|1893	Klintberg, Mathias Victor | Katalog öfver Visby högre allmänna läroverks etnografiska samling | 1893
lindell per gustaf edvard|likbranningen jemte ofriga grafskick|1888	Lindell, Per Gustaf Edvard | Likbränningen jemte öfriga grafskick | 1888
nynstrom anton kristen|allman kulturhistoria|1886 92	Nynström, Anton Kristen | Allmän kulturhistoria... | 1886-92
schweiger lerchenfeld amand v|qvinnan bland skilda folk illustrationerna af a wanjura fri ofvers af egerius|1881	Schweiger-Lerchenfeld, Amand v. | Qvinnan bland skilda folk. Illustrationerna af A. Wanjura. Fri öfvers. | 1881
schwerin hans hugold von|om kustfolks olika sjoduglighet|1900	Schwerin, Hans Hugold von | Om kustfolks olika sjöduglighet | 1900
stolpe knut hjalmar|exposition ethnographique de stockholm 1878 1879 photographies par c f lindberg texte par hjalmar stolpe|1881	Stolpe, Knut Hjalmar | Exposition ethnographique de Stockholm 1878-1879. Photographies par C. | 1881
stolpe knut hjalmar|riksmusei etnografiska samling afdelningen 2 asien fornamerika|1895	Stolpe, Knut Hjalmar | Riksmusei etnografiska samling, afdelningen 2 (Asien, Fornamerika) | 1895
stolpe knut hjalmar|den allmanna etnografiska utstallningen|1879 78	Stolpe, Knut Hjalmar | Den allmänna etnografiska utställningen | 1879, 78
stolpe knut hjalmar|vagledning genom vanadisutstallningen i valand 1887|1887	Stolpe, Knut Hjalmar | Vagledning genom Vanadisutställningen i Valand 1887 | 1887
stolpe knut hjalmar|vagvisare genom vanadis utstallningen i arffurstens palats 1886|1886	Stolpe, Knut Hjalmar | Vägvisare genom Vanadis-utställningen i Arffurstens Palats 1886 | 1886
ahlenius karl jacob mauritz|om klassifikationen af manniskoraserna|1897	Ahlenius, Karl Jacob Mauritz | Om klassifikationen af människoraserna | 1897
lilja nils|menniskan hennes uppkomst hennes lif och hennes bestammelse ur naturhistorisk synpunkt betraktad|1858	Lilja, Nils | Menniskan, hennes uppkomst, hennes lif och hennes bestämmelse. Ur natu | 1858
nystrom anton kristen|uppkomsten af kortskallar och langskallar ett bidrag till raslaran|1903	Nyström, Anton [Kristen] | Uppkomsten af kortskallar och långskallar Ett bidrag till rasläran | 1903
blanc ludwig gottfrid|verldsbyggnaden en illustrerad handbok for alla samhallsklasser ofversatt och bearbetad af gust thomee|1857 1865	Blanc, Ludwig Gottfrid | Verldsbyggnaden. En illustrerad handbok för alla samhällsklasser ....  | 1857-1865
dreyer w|genom fem varldsdelar populara skildringar i ord och bild af lander och folk ofvers af k hagman|1905	Dreyer, W. | Genom fem världsdelar Populära skildringar i ord och bild af länder oc | 1905
fehr isak nikolaus|geografiska skildringar for skolan och hemmet|1895 1898	Fehr, Isak Nikolaus | Geografiska skildringar för skolan och hemmet | 1895-1898
